"OrderDate,Country,City,Product,Segment,Revenue,Cost,Profit,DiscountPct"
"2026-12-10,Germany,Berlin,Tax Prep V2,Small Business,4493.95,3000.26,1493.69,0.17"
"2026-6-26,France,Lyon,Cloud Storage,Small Business,985.07,481.01,504.06,0.08"
"2026-4-20,USA,Chicago,Training Pack,Government,1490.96,678.89,812.07,0.05"
"2026-6-4,Japan,Osaka,Consulting Hour,Government,2821.07,1807.07,1014.00,0.19"
"2026-1-13,USA,Chicago,Tax Prep V2,Enterprise,1965.49,1188.51,776.98,0.10"
"2026-6-3,USA,New York,Cloud Storage,Enterprise,3292.68,2061.37,1231.31,0.10"
"2026-4-5,France,Nice,Cloud Storage,Government,1004.08,403.05,601.03,0.11"
"2026-12-24,USA,Seattle,Consulting Hour,Small Business,5189.54,2872.56,2316.98,0.05"
"2026-4-20,USA,New York,Cloud Storage,Enterprise,5263.12,3436.66,1826.46,0.12"
"2026-12-14,Japan,Osaka,Cloud Storage,Small Business,2667.95,1394.35,1273.60,0.04"
"2026-3-20,Germany,Munich,Cloud Storage,Enterprise,5483.04,2324.76,3158.28,0.14"
"2026-3-23,France,Nice,Tax Prep V2,Government,3838.08,1553.39,2284.69,0.08"
"2026-10-25,Japan,Osaka,Training Pack,Small Business,1596.88,757.31,839.57,0.09"
"2026-7-12,USA,Chicago,Training Pack,Enterprise,3309.38,2207.38,1102.00,0.03"
"2026-5-21,Japan,Kyoto,Audit Software A,Small Business,548.19,344.27,203.92,0.08"
"2026-5-21,France,Paris,Tax Prep V2,Enterprise,665.20,428.77,236.43,0.01"
"2026-7-15,USA,New York,Audit Software A,Government,2412.25,1145.86,1266.39,0.06"
"2026-12-12,France,Lyon,Audit Software A,Enterprise,5113.30,3155.39,1957.91,0.10"
"2026-7-1,France,Nice,Audit Software A,Enterprise,2103.01,1029.82,1073.19,0.11"
"2026-1-13,France,Nice,Consulting Hour,Enterprise,4454.95,2988.11,1466.84,0.14"
"2026-9-12,Japan,Osaka,Tax Prep V2,Government,3386.35,1785.91,1600.44,0.12"
"2026-4-21,Japan,Tokyo,Training Pack,Enterprise,1156.63,629.40,527.23,0.19"
"2026-1-10,Germany,Berlin,Audit Software A,Small Business,4211.71,2855.76,1355.95,0.09"
"2026-7-18,Germany,Hamburg,Audit Software A,Government,1089.37,708.29,381.08,0.05"
"2026-5-7,Germany,Hamburg,Tax Prep V2,Small Business,1735.18,713.07,1022.11,0.03"
"2026-6-22,USA,New York,Tax Prep V2,Enterprise,1002.21,614.61,387.60,0.02"
"2026-10-15,Japan,Tokyo,Tax Prep V2,Enterprise,3444.73,1502.48,1942.25,0.04"
"2026-7-18,France,Lyon,Training Pack,Small Business,5236.12,2412.42,2823.70,0.10"
"2026-7-14,Germany,Hamburg,Audit Software A,Government,3908.28,2293.66,1614.62,0.09"
"2026-7-3,USA,Seattle,Audit Software A,Enterprise,1669.46,938.65,730.81,0.11"
"2026-5-14,Japan,Kyoto,Cloud Storage,Government,3065.26,1725.42,1339.84,0.09"
"2026-4-15,France,Paris,Audit Software A,Enterprise,3636.22,1963.33,1672.89,0.07"
"2026-1-14,Germany,Munich,Cloud Storage,Government,1668.14,787.19,880.95,0.01"
"2026-6-21,USA,Chicago,Training Pack,Small Business,3332.17,2020.40,1311.77,0.05"
"2026-6-24,France,Lyon,Training Pack,Government,3186.29,1338.83,1847.46,0.15"
"2026-5-23,Germany,Munich,Cloud Storage,Enterprise,4595.07,3076.08,1518.99,0.02"
"2026-11-10,France,Nice,Consulting Hour,Enterprise,2010.65,1290.07,720.58,0.03"
"2026-3-6,USA,New York,Audit Software A,Small Business,4894.25,1968.36,2925.89,0.06"
"2026-11-22,Japan,Tokyo,Audit Software A,Enterprise,1168.03,629.49,538.54,0.11"
"2026-9-13,USA,Seattle,Training Pack,Enterprise,3304.70,2199.40,1105.30,0.10"
"2026-11-4,Japan,Kyoto,Cloud Storage,Enterprise,1725.00,871.79,853.21,0.06"
"2026-5-19,Germany,Munich,Cloud Storage,Enterprise,4366.63,2867.04,1499.59,0.03"
"2026-9-11,France,Paris,Tax Prep V2,Enterprise,1034.31,678.55,355.76,0.02"
"2026-8-22,Germany,Hamburg,Audit Software A,Government,3503.81,2097.21,1406.60,0.11"
"2026-10-9,USA,New York,Training Pack,Enterprise,5440.74,3320.67,2120.07,0.16"
"2026-3-6,France,Lyon,Consulting Hour,Government,3565.03,2382.04,1182.99,0.15"
"2026-5-2,Germany,Munich,Audit Software A,Small Business,1664.40,1078.15,586.25,0.18"
"2026-3-28,Germany,Munich,Cloud Storage,Enterprise,5298.31,3380.72,1917.59,0.16"
"2026-10-18,France,Paris,Cloud Storage,Government,4978.60,3449.63,1528.97,0.14"
"2026-5-11,France,Lyon,Cloud Storage,Enterprise,3441.64,1910.55,1531.09,0.15"
"2026-3-23,Japan,Osaka,Cloud Storage,Government,3699.94,2285.34,1414.60,0.16"
"2026-9-7,Germany,Hamburg,Audit Software A,Enterprise,3354.21,1353.02,2001.19,0.10"
"2026-9-28,Japan,Kyoto,Audit Software A,Government,1503.01,647.72,855.29,0.17"
"2026-8-1,USA,New York,Consulting Hour,Small Business,2248.91,1478.48,770.43,0.12"
"2026-7-27,Japan,Kyoto,Cloud Storage,Small Business,2702.14,1438.31,1263.83,0.09"
"2026-7-3,Germany,Hamburg,Consulting Hour,Small Business,4218.46,2248.48,1969.98,0.16"
"2026-9-24,France,Nice,Audit Software A,Enterprise,5484.47,2296.48,3187.99,0.08"
"2026-1-23,Germany,Munich,Training Pack,Enterprise,1025.19,486.63,538.56,0.15"
"2026-4-14,Japan,Kyoto,Audit Software A,Small Business,4692.19,2438.59,2253.60,0.10"
"2026-8-24,USA,New York,Training Pack,Small Business,1293.07,613.60,679.47,0.13"
"2026-2-16,Germany,Munich,Training Pack,Small Business,1705.68,872.86,832.82,0.01"
"2026-2-21,Japan,Osaka,Audit Software A,Enterprise,3820.60,2356.36,1464.24,0.09"
"2026-11-7,Japan,Kyoto,Training Pack,Small Business,2680.04,1488.75,1191.29,0.16"
"2026-10-26,France,Lyon,Consulting Hour,Government,3243.50,1852.66,1390.84,0.07"
"2026-3-3,France,Lyon,Training Pack,Enterprise,848.29,490.56,357.73,0.18"
